smiles,value,log_value,init_value
CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1C[C@H](C)CN(S(=O)(=O)c2ccccn2)CC1=O,0.86,-0.15082288973458366,0.42559081959004313
CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H]1C(=O)CN(S(=O)(=O)c2ccccn2)CC[C@@H]1C,0.975,-0.025317807984289897,0.44436604347190634
COc1cccc(C(=O)N[C@@H](CC(C)(C)C)C(=O)N[C@@H](CC(=O)O)CN2CCc3cc(F)ccc32)c1,0.56,-0.579818495252942,0.3614142266934467
Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,0.97,-0.030459207484708574,0.4435969038853634
CCc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,0.86,-0.15082288973458366,0.42559081959004313
OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,0.67,-0.40047756659712525,0.38824314899472506
CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,0.1833,-1.6966311241364778,0.19434205042014205
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2c(C)noc2C)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,0.5833,-0.5390536452225451,0.3675125390100274
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccno2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,0.6,-0.5108256237659907,0.37173537537009854
c1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,0.4,-0.916290731874155,0.3110788818253913
COc1ccccc1C(=O)NC1N=C(c2ccccc2)c2ccccc2NC1=O,0.4,-0.916290731874155,0.3110788818253913
Fc1cnccc1-c1cc(-c2ccc(F)c(-c3ncccc3F)c2)cnn1,0.8,-0.2231435513142097,0.41477184243385506
CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1,0.3,-1.2039728043259361,0.2680424147616348
CC(C)(C)[C@H](NC(=O)OCCO)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,0.3,-1.2039728043259361,0.2680424147616348
CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(OP(=O)(O)O)c1,0.15,-1.8971199848858813,0.16434945415317107
CC(C)(C)[C@H](NC(=O)OCCOP(=O)(O)O)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,0.1,-2.3025850929940455,0.10369296060846378
O=C(O)CCCCCCN1C(=O)CC[C@@H]1CCC(O)Cc1ccccc1,0.45,-0.7985076962177716,0.32869890830634213
O=C(O)c1ccc(CCCN2C(=O)CC[C@@H]2CC[C@@H](O)Cc2cccc(C(F)(F)F)c2)s1,0.87,-0.13926206733350766,0.4273202876387594
O=C(O)CCCCCCN1C(=O)CC[C@@H]1CC[C@@H](O)Cc1cccc(C(F)(F)F)c1,0.42,-0.8675005677047231,0.3183777596296903
N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(C(N)=O)c4)c3O)nc2c1,0.5,-0.6931471805599453,0.34446055908730433
CC(C)CN(C[C@@H](O)[C@H](Cc1ccc(OCc2ccccn2)cc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)OCO2,0.91,-0.09431067947124129,0.4340448947952545
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N,0.2,-1.6094379124341003,0.20738592121692753
Cc1nc[nH]c1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)COCc1ccccc1,0.2,-1.6094379124341003,0.20738592121692753
COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C3(c4ccccc4)CCNCC3)CC2)c1,0.7,-0.35667494393873245,0.39479590395535974
O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)c1,0.5,-0.6931471805599453,0.34446055908730433
O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,0.3,-1.2039728043259361,0.2680424147616348
Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,0.3,-1.2039728043259361,0.2680424147616348
Cc1ccc(-c2cc(Cl)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,0.5,-0.6931471805599453,0.34446055908730433
Cc1cc(COc2ccc(C(=O)NC3(CC(=O)NO)CCOCC3)cc2)c2ccccc2n1,0.3,-1.2039728043259361,0.2680424147616348
Cc1csc(Nc2cccc3ccccc23)n1,0.4,-0.916290731874155,0.3110788818253913
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,0.4,-0.916290731874155,0.3110788818253913
COCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,0.2,-1.6094379124341003,0.20738592121692753
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(C3)C1)C2,0.6,-0.5108256237659907,0.37173537537009854
N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCC1,0.3,-1.2039728043259361,0.2680424147616348
CC(=O)Nc1cccc(N2CCN(CC3CCN(S(=O)(=O)CC4CCCCC4)CC3)CC2)c1,0.75,-0.2876820724517809,0.40511705263201164
COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,0.2,-1.6094379124341003,0.20738592121692753
COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)N(C)CC(C)C)C(=O)OCCO)cc1,0.4,-0.916290731874155,0.3110788818253913
COC(=O)[C@H](Cc1ccc(-c2c(OC)cnn(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl,0.7,-0.35667494393873245,0.39479590395535974
COc1cnn(CCO)c(=O)c1-c1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1,0.2,-1.6094379124341003,0.20738592121692753
COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)N(C)CC(C)C)C(=O)O)cc1,0.9,-0.10536051565782628,0.4323918689148059
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,0.8,-0.2231435513142097,0.41477184243385506
O=C(O)CC(Cc1cc(OCCCNC2=NCCN2)no1)c1ccc2c(c1)OCO2,0.5,-0.6931471805599453,0.34446055908730433
O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,0.98,-0.020202707317519466,0.4451312488234152
Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(C#N)c2)n1,0.7,-0.35667494393873245,0.39479590395535974
Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(OC(C)C)c(Cl)c2)n1,0.8,-0.2231435513142097,0.41477184243385506
Cc1cc(CCC(=O)O)ccc1-c1noc(-c2ccc(OCC(F)(F)F)c(C#N)c2)n1,0.6,-0.5108256237659907,0.37173537537009854
CCC(=O)CN([C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)c1ccc2cc(Cl)ccc2c1,0.5,-0.6931471805599453,0.34446055908730433
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](N(CC(N)=O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.3,-1.2039728043259361,0.2680424147616348
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](N(CC(=O)O)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.2,-1.6094379124341003,0.20738592121692753
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](N(C)S(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.5,-0.6931471805599453,0.34446055908730433
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.9,-0.10536051565782628,0.4323918689148059
CC(C)C[C@@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,0.7,-0.35667494393873245,0.39479590395535974
CC(C)(NC1=NS(=O)(=O)c2sc(Cl)cc2N1)c1ccccc1,0.8667,-0.14306238284183775,0.4267517706233881
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,0.16,-1.8325814637483102,0.17400424395501446
Nc1nc(Nc2ccc(S(=O)(=O)NC(=O)[C@H](N)CO)cc2)nn1C(=O)c1c(F)cccc1F,0.16,-1.8325814637483102,0.17400424395501446
CCOC(=O)CCC(=O)NS(=O)(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,0.16,-1.8325814637483102,0.17400424395501446
COCCOCC(=O)NS(=O)(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,0.16,-1.8325814637483102,0.17400424395501446
NCC(=O)NS(=O)(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,0.16,-1.8325814637483102,0.17400424395501446
CN1CCN(CCC(=O)NS(=O)(=O)c2ccc(Nc3nc(N)n(C(=O)c4c(F)cccc4F)n3)cc2)CC1,0.16,-1.8325814637483102,0.17400424395501446
Nc1nc(Nc2ccc(S(=O)(=O)NC(=O)CCC(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,0.16,-1.8325814637483102,0.17400424395501446
Nc1nc(Nc2ccc(S(=O)(=O)NC(=O)CCN3CCOCC3)cc2)nn1C(=O)c1c(F)cccc1F,0.16,-1.8325814637483102,0.17400424395501446
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)c2ccc(S(C)(=O)=O)cc2)CC1,0.8,-0.2231435513142097,0.41477184243385506
C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,0.9,-0.10536051565782628,0.4323918689148059
CCNC(=O)N(c1ccc(F)cc1)c1ccnc(NC2CCOCC2)n1,0.46,-0.7765287894989963,0.33198689384898833
Cc1ccc(-c2cc(Cl)ccc2OCC2CCCCC2)n1-c1cccc(C(=O)O)c1,0.4,-0.916290731874155,0.3110788818253913
Cc1ccc(-c2cc(Br)ccc2OCc2ccc(F)cc2Cl)n1-c1cccc(C(=O)O)c1,0.3,-1.2039728043259361,0.2680424147616348
Cc1ccc(-c2cc(Br)ccc2OCc2ccc(Cl)cc2)n1-c1cccc(C(=O)O)c1,0.2,-1.6094379124341003,0.20738592121692753
Cc1c(Br)cc(-c2cc(Cl)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,0.3,-1.2039728043259361,0.2680424147616348
CCOc1nc(C(=O)NCc2cccnc2)cc(N)c1C#N,0.5,-0.6931471805599453,0.34446055908730433
COC(=O)CCCC(=O)O[C@@H]1C[C@H]2[C@H](O)/C=C/C(=O)O[C@@H](C)CCC/C=C/[C@@H]2C1,0.05,-2.995732273553991,0.0
CC(=O)O[C@@H]1C[C@H]2[C@H](O)/C=C/C(=O)O[C@@H](C)CCC/C=C/[C@@H]2C1,0.5,-0.6931471805599453,0.34446055908730433
O/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,0.8,-0.2231435513142097,0.41477184243385506
CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)c(Cl)c3)cn12,0.9,-0.10536051565782628,0.4323918689148059
CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,0.7,-0.35667494393873245,0.39479590395535974
CC[C@]12CCC(=O)C(C)=C1c1ccc3[nH]ncc3c1C2,0.8,-0.2231435513142097,0.41477184243385506
CC[C@@]12CCC(=O)C(Cl)=C1c1ccc3[nH]ncc3c1C2,0.5,-0.6931471805599453,0.34446055908730433
